"These are so awesome, I bought others and returned them...not these",positive
"they were perfect",positive
"Over the years, we have purchased many solar products.  The TomCare Solar Lantern Flickering Flame light are my favorite of all time. 
 A very good product at a very good price.  We get lots of compliments from friends and neighbors.  We hung them in the yard by the flower garden and they are something worth buying.  We plan to order another sit for the front flower garden.",positive
"It didn’t really nice in my garage and seems to being serving it’s purpose well. Pretty good quality so far.",positive
Beautiful,positive
"Have had one set of these solar lights for two years and have been so pleased with them, that I recently purchased two more sets to add additional accent the yard. They add a year round ambiance!!",positive
"Already in use...  Works GREAT!!!",positive
"Product arrived quickly but is not what I expected. Too small for what I intended and will have to find another use.",positive
"Item is as described. Its sturdy and perfectly fit my needs",positive
good,positive
"This is perfect for our bathroom.  Really decorative and useful as well.",positive
"Fit nicely into my closet.",positive
"Good quality,",positive
"ITEM MUCH SMALLER THAN I THOUGHT IT WAS.",positive
X,positive
"Smooth transaction. Very fast shipping. Thanks so much!!!",positive
"Not good for a lot of weight.  But for what I needed, it fits the bill.  Item as described.  Easy assembly by hand.  Did not need the included silly hammer.",positive
"I had ordered a size 12.  I order these capris every year and I love them.  But they sent a size 2.",neutral
"Just received but looks as pictured",positive
"I was hesitant to purchase but glad I did. Its great!",positive
"The expandable hoses are very convenient and prefer them over the traditional garden hose which always seems to kink.",positive
"Great transaction. Great customer service. Great product. What can I say? Had a small issue with one of the lamps, which I repaired. Now it works great.",positive
"Smaller than I thought but work well",positive
"Love them! I have these posted around my property and they illuminate the area they are stationed when approached. Ordered more and have them hanging in sunlight to use in the house during power outages, of which we have many.",positive
"Product arrived early. Had very simple instructions. I was able to put the organizer together in less than 30mins. Material seems pretty sturdy. I’m using it in my laundry room to store my children’s clothes. It’s perfect!",positive
"I love the ""tray"" on top, perfect for what I needed. Holds 3 Costco rolls with a full roll being used with no problems!",positive
"product arrived quickly and as described",positive
"These are beyond AWESOME!  I can’t stop watching the flickering flame.  They are much brighter than traditional solar lights that I have seen and are VERY realistic.  I”m ordering more.   I thought I was getting a silver but the choices are white or black just in case there was some confusion looking at them.  They are wonderful!!  LOVE THEM!!!",positive
"It's exactly as described.  Easy to assemble and sturdy.",positive
"product works great easy to install",positive
"Package arrived a bit ahead of schedule.  Items as described; haven't had a chance yet to set them up.",positive
"Item came as described.  Good product for the price.",positive
"Saw them in February where we were vacationing and they looked so cool at night while we sat by the pool.  Very realistic!  Haven’t put them in the ground yet ( will do when it warms up as they need solar power to work).  Very anxious to put them out and show them off.",positive
"Arrived earlier than stated. Great service.",positive
"Just arrived this week.  Worked first night out of the box - all night.  Color and light as described.  If it continues to work like this, would recommend.  If not, will update feedback.",positive
"Good size for my daughter bedroom. I hope this product will last. Thanks",positive
"Exactly as advertised.",positive
"ALL  GOOD.  LOVE THE LITTLE LANTERNS",positive
"Haven’t used yet but appears it is as I expected.",positive
"Great hose stand. Anchors well in the ground and it easily holds my 120’ of heavy duty hose.",positive
"Received item as described.  Thanks!",positive
"This is the best diffuser I have ever owned!",positive
"It works all night long. Makes the room smell amazing and helps me relax with the soft colors",positive
"Works great!",positive
"Nice and small.Works great!",positive
"Just like picture shows",positive
"i own 12 now",positive
"Easy transaction, item in perfect condition and high quality.",positive
"I've had these for bit than a week of hanging out on my deck. They are AWESOME!!! The flickering is just plain cool and the two provide just enough light, ie: not too much. People walking buy ask and I tell where I got them. SO, if you like doing computer stuff while drinking bourbon and listening to 80's rock (Mötley!) on your deck at or around midnight, you can't do better!",positive
excellent,positive
"Love these lights
Delivery perfect",positive
"Fast delivery, easy setup.  They charge during the day and run all night long (until the sun comes up the next day).  All my neighbors love them.  A great ""tiki torch"" with out the hassle.",positive
"Love these lights! I use them on my windowsill in my kitchen for ambiance and also on the balcony when I’m outside",positive
"love this product!",positive
"pictures don't match with the real hose!!! anyway it works perfectly",positive
"I love these torches, they look real.",positive
"Love it!! Wish the parts are sold separately since I do have spares....",positive
Excellent,positive
"Prompt service and delivery",positive
"Arrived timely and well packaged",positive
"This toilet paper holder was delivered promptly, securely packaged and exceeded my expectations.  It was extremely ease to assemble and works perfectly.  I am very pleased with my purchase.",positive
"nice simple diffuser, great product",positive
"Quick delivery and positive vibes in email by seller after product delivery",positive
"Good Product",positive
"Item received in timely manner, well packaged and exactly as described.",positive
Thanks!,positive
"Unfortunately, a problem occurred during shipping and we had to cancel your delivery. The package is being returned, and we will issue a refund within 3 - 5 business days after the return is processed. We’re very sorry for the inconvenience. 
Really?",negative
"Love this product. We have to keep all the fruits inside the pantry so our dog won't eat them up. This basket tier let us see what we have without digging through everything and it doesn't take up much space either. Much better than the fruit bowl we used to use.",positive
Good,positive
"Works great",positive
"doesn't move humidity in the room up at all and has to be filled often - but it was cheap!",positive
"Excellent seller. Love the product!!!",positive
"So far so good.  About a cup of water and a few
Drops of essential oils lasts about 8 hours.",positive
Perfect,positive
"Love it!  Fast delivery too!",positive
"Very happy with this. It makes it so much easier to get up from pulling weeds.",positive
"Great little diffuser could use a larger reservoir but it's functional",positive
"It works perfectly",positive
"What can I say other than, LOVE IT, LOVE IT, LOVE IT.   This will always be my ""go to"" product for storage problems.  Will be ordering more for my other closets.  Thank you for a wonderful product, delivery and ease in assembly.",positive
"The item arrived earlier then anticipated. It fits the area perfectly and has the added benefit of having extra storage making refills readily accessible.",positive
"As it's only been about 8 months we are so pleased with the quality and realistic look.they give. We have already purchased them for two family members who are also very pleased.",positive
"Working very nicely.",positive
Like,positive
"Arrived quickly and as described. Will purchase from again.",positive
"Great product",positive
"Absolutely love them! They are extremely nice and stay lit all night long and turn off at first light. Will be fashioning one into a solar lamp post for our front yard.",positive
"Nice item, love it",positive
"Packaged very nicely, assembled fairly easily and works great.",positive
"Of all the diffusers we have purchased in every price range, this is by far the best. I have three, never had an issue and they're constantly running.
Love! I will be buying more.",positive
"Great Product. My husband loves to work in yard. This has enabled him to work in his garden with secure balance. He’s able to get up and down and sit comfortably.",positive
"Bought and a gift for my son.he uses it every night",positive
"perfect for my new garden project.",positive
"I love to sit and watch it at night. The colors are pretty.",positive
"Cool product, works efficiently",positive
"reliable seller fully recommended",positive
"Great, easy to use.",positive
"Good product",positive
"nice sturdy working bench in the garden",positive
"I'm happy for the follow up and agreement. Thank you.",positive
"Just as described. Fast shipping",positive
"Arrived on time packaging was very good. Purchased product to place above garden shed door, and around deck steps. Really like the lights all worked right out of box, easy installation. Instruction sheet is okay but the description for the wall plug supplied in the kit needs a little improvement.",positive
"Garden kneeler arrived as expected - sturdy and well-designed.",positive
"It's a little less stable than I had hoped but it works well with our decor.",positive
"As described A++++",positive
..............,positive
"Great item and lasts a long time!",positive
Fantastic,positive
"This diffuser was purchased 1/20. It is leaking water from the bottom. This item is not even 3 months old. I have followed the direction in preparing this product for use, so therefore I am requesting a refund and deserve a refund.  It is a shame the amount that I spent on this product, and it doesn't work anymore.",negative
"Ordered item March 10, 2020, the item said ""Estimated Delivery Date: April 7, 2020 - April 28, 2020"", I wasn't in a big hurry, so it didn't matter. Opened mailbox a few days later and the item had arrived by at least the 14th, a lot faster than I had expected.",positive
"VERY sturdy and easy to fold and carry!  Have wanted one for some time.  This bench just what I needed.",positive
"Loving this new diffuser. The colors are fun and it’s just the little spark of happy in the house that we need right now",positive
"WOW!   Better than described.    Added to front of my home and got tons of compliments!",positive
"When I opened them, I wasn't sure if they were the ones that flickered like a flame.  But, they are.  I gave these 4 solar lanterns as a gift and she loved them.",positive
"They look great but I expected them to be a tad more substantial looking.  Work great but will have to see how the hold up.  Price was very decent so I guess I may have expected too much",positive
"Great for the price",positive
"Good to go.",positive
"Super great! I use them in my bedroom and it adds just enough light",positive
"Fast shipping.",positive
"best service ever! i got it damaged and i got a new one order right away",positive
"AWESOME!! LOOK GREAT!!",positive
"lights work great, use them on side of house ,which they provided super lighting and motion detection",positive
"Working very well thus far",positive
"I need a return  shipping label for this item I have until the 29TH of March to return",neutral
"Excellent quality! Superior delivery.",positive
"WORKS GREAT!!!",positive
"I absolutely love these! I ordered 4, they came next day, powered up for 4 hours and stayed lit for the entire night. I bought 4 more the next day!",positive
"Will manufactured good-quality and sturdy. Both sides have nice Deep Pockets to carry tools gloves Etc",positive
"Love this little diffuser! Easy to use.",positive
"These bins are sturdy and well made. I will be ordering more.",positive
"As described",positive
"Skeptical, at first, when the lanterns arrived.  I waited for a sunny day and put them on a high table on the deck and forgot about them.  Well, later that night I saw these flames outside and couldn't believe it!  Each lantern looked like it had a small fire inside flickering quite a bit. Still going when I went to bed after midnight.  Beautiful!  I'm ordering two more sets.  Very, very pleased.",positive
"Nice box, decently made.",positive
"Everything worked right out of the box",positive
"These came quickly and seem to work as advertised. I put them out in a multi day rain storm and they still drew enough light to get the initial charge.",positive
"Really nice",positive
"I had to go online to find out how to open the diffuser. Other than that, so far, so good.",positive
Satified.,positive
"Arrived on time, well packaged. Works as described.",positive
"Great quality! Just make sure to use the correct size boards and take your time to build it. Very easy to build when follow the directions properly",positive
"item was packaged great and product works wonderfully, thanks",positive
"Really nice product.  I like that it is not very bright when I am trying to sleep.",positive
"I have one and love it. Ordered a second for another room",positive
"Love it",positive
Nice,positive
"This is one of my favorite defusers!  I liked t Mobile email so well, I bought 8 if them, two for my large living room, and one for each room in my home!",positive
"Pleased with transaction!",positive
"Exactly as described, works great in my art studio",positive
"Ideal for a small home space.",positive
"Works great but too small. I wouldn't buy again, you constantly have to refill.",positive
"Love this!  We use both TP and hygienic wipes, the little shelf is perfect for holding the package of wipes.",positive
"Package arrived on time and no issues. Great service",positive
"Enjoying this diffuser.  It works as expected.  My daughter had one and we used it in the bedroom of my mother who was in hospice at home.  It was very calming for us. I highly recommend this item.",positive
"Great for my sons room",positive
"I love these lights but only 3 of the 4 are working. I waited for a day of full sun thinking that it wasn't holding a charge.
Is there troubleshooting I can do to fix this?",neutral
"Just what we had expected. My daughter enjoys the lights in her room.",positive
"did not come with the two-sided adhesive tape like those sold in stores have making it far more difficult to mount",neutral
"Item was actually bigger than I expected. Arrived quickly.",positive
"much larger than expected. works well",positive
"Leaks out of the bottom not matter what I do and no matter how little I fill it",negative
"Item arrived as stated and was easy to put together and install in the front garden. It will be easy to take down and put away for the winter also. Excellent product.",positive
"Easy to work with and great customer service",positive
"These lights are great...……… They lasted all night long on a full charge. Even when it was cloudy.",positive
"love it",positive
"Next day delivery, 1/2 the price of Home Depot, way better looking, only charged for a few hours and burned all night. I just ordered 4 more. LOVE, LOVE, LOVE!",positive
great!,positive
"fast service",positive
works!,positive
"Very useful product, sturdy",positive
"Really nice garden hose holder.  Arrived with no damage.  It looks good and works really well.  I really like it.",positive
"As advertised sturdy metal construction.  Arrived ahead of expected delivery time and worked the first evening along my sidewa, after charging for ap;rox 1 hour under my work light.",positive
